STATE,COUNTY,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
05,147,6869,6715,6616,6580,6496,6431
05,149,21771,21505,21520,21544,21506,21376
06,000,38586706,38904296,39149186,39337785,39437463,39437610
06,001,1607638,1634326,1650765,1659824,1666596,1668412
06,003,1083,1080,1053,1116,1081,1113
06,005,36734,37039,37443,38549,39349,39693
06,007,223525,224643,226222,228700,230330,218726
06,009,44677,44972,45307,45658,45747,46119
06,011,21156,21208,21476,21558,21389,21474
06,013,1108665,1124148,1137259,1145623,1150840,1152883
06,015,27182,27198,27415,27383,27793,27903
06,017,183157,184627,186027,188793,190925,193057
06,019,960072,968889,976231,984726,991298,997847
06,021,27802,27723,27796,27876,27899,28445
06,023,134556,135177,136477,136710,136502,135839
06,025,177786,178701,179881,181250,181062,180439
06,027,18280,18097,17897,17819,17894,17993
06,029,869837,876548,881094,887316,893618,898898
06,031,149373,149960,149269,149542,151221,152727
06,033,64056,64266,63912,64132,64394,64463
06,035,31664,31256,30715,30919,30658,30694
06,037,10033449,10077263,10094865,10092365,10061533,10011602
06,039,153357,153448,153694,155079,156373,156717
06,041,260403,260974,260722,259975,260091,259085
06,043,17745,17653,17498,17461,17361,17117
06,045,87247,87131,87319,87690,87549,86932
06,047,264241,266133,267370,270837,273733,277114
06,049,9078,9064,8957,8864,8816,8866
06,051,14130,14074,14256,14333,14400,14450
06,053,427985,430178,433436,433803,433359,433380
06,055,140331,140766,140778,139818,138620,137678
06,057,98605,98716,98939,99421,99472,99648
06,059,3126523,3148952,3164277,3174159,3175579,3170851
06,061,369241,372870,379046,385348,392735,398918
06,063,18631,18435,18691,18680,18830,19052
06,065,2315238,2344648,2378282,2413058,2443221,2465569
06,067,1474828,1493547,1511401,1527984,1539550,1551660
06,069,57891,58276,59270,60190,61415,62803
06,071,2098346,2114352,2130726,2149847,2165627,2177279
06,073,3249307,3280825,3305462,3319019,3332483,3330459
06,075,850918,863237,871343,877471,879676,878826
06,077,711296,721919,732662,743286,752590,761571
06,079,278271,280138,281884,282473,283250,282728
06,081,757653,765479,767928,768658,768410,764810
06,083,438921,442051,444112,444998,445137,445464
06,085,1891286,1915736,1928144,1932251,1931985,1922411
06,087,270863,273495,274476,274865,273713,272870
06,089,178904,178386,178592,179403,179666,179645
06,091,2976,2990,2956,3008,2961,2959
06,093,43357,43275,43402,43647,43624,43663
06,095,428971,433378,438834,443554,445931,447434
06,097,498317,500598,502445,502203,497221,492318
06,099,527814,532954,538986,544494,547855,549761
06,101,94721,95224,95769,96161,96348,96910
06,103,62797,63150,63468,63827,63904,65186
06,105,13126,13094,12827,12727,12598,12337
06,107,454858,456794,458991,462072,464279,465751
06,109,53830,53599,53729,53953,54250,54290
06,111,842113,845599,846921,848264,847222,844203
06,113,208368,211998,215569,218470,220082,220019
06,115,73527,74039,74920,76575,77418,78549
08,000,5352637,5454328,5543844,5617421,5697155,5758486
08,001,479954,490448,497735,503717,511485,516575
08,003,15807,15894,16047,16102,16235,16200
08,005,619681,631688,639605,645080,652395,656051
08,007,12240,12399,12834,13312,13670,13928
08,009,3586,3554,3534,3554,3587,3620
08,011,5821,5891,5832,5828,5793,5578
08,013,312525,318408,321761,323019,325438,326020
08,014,61791,64914,66596,68340,69431,70617
08,015,18471,18635,19140,19700,20066,20319
08,017,1845,1826,1848,1849,1864,1824
08,019,9124,9246,9355,9573,9552,9598
08,021,8230,8064,8044,8141,8154,8169
08,023,3560,3576,3692,3758,3803,3872
08,025,5610,5633,5276,5820,5886,5989
08,027,4339,4434,4581,4861,4962,5119
08,029,29973,29925,30352,30516,30835,31021
08,031,664540,683328,696273,704869,716340,725508
08,033,1976,1980,2055,2044,2056,2042
08,035,314783,322333,328680,336347,343780,351842
08,037,53276,53863,54578,55022,55087,55183
08,039,24035,24634,25130,25735,26267,26707
08,041,662968,674094,688671,700838,712746,721929
08,043,46185,46327,47047,47633,48070,48009
08,045,57174,57724,58839,59065,59722,60031
08,047,5754,5813,5920,6024,6131,6232
08,049,14569,14742,15198,15385,15556,15748
08,051,15786,16125,16447,16896,17177,17480
08,053,772,762,783,788,786,789
08,055,6399,6408,6583,6632,6877,6868
08,057,1385,1352,1356,1376,1403,1397
08,059,559099,565240,571823,576041,580027,582800
08,061,1382,1386,1346,1368,1385,1417
08,063,8028,8223,7632,7149,7166,7161
08,065,7333,7455,7591,7769,7807,8072
08,067,53941,54776,55459,55717,56511,56440
08,069,324272,333637,339394,344509,351045,357241
08,071,14054,14048,14085,14237,14460,14415
08,073,5503,5545,5546,5526,5595,5694
08,075,22446,22484,22427,22314,22286,22409
08,077,147215,148159,149882,151435,153339,154552
08,079,703,742,756,753,774,756
08,081,12941,12946,13155,13095,13148,13209
08,083,25551,25763,26063,26187,26303,26369
08,085,40622,40609,41183,41795,42309,42791
08,087,28098,28245,28178,28275,28754,28938
08,089,18334,18182,18279,18344,18354,18243
08,091,4576,4611,4794,4815,4834,5005
08,093,16392,16739,17372,17935,18583,18881
08,095,4394,4328,4307,4339,4343,4359
08,097,17730,17962,18009,18027,18066,17902
08,099,12064,11937,11937,11990,12038,12106
08,101,161434,163101,164883,166370,167574,168409
08,103,6604,6487,6443,6362,6347,6350
08,105,11505,11355,11354,11300,11274,11277
08,107,24085,24388,24737,25220,25489,25579
08,109,6195,6250,6413,6632,6837,6829
08,111,712,690,691,713,760,723
08,113,7751,7850,8032,8049,8195,8169
08,115,2332,2373,2399,2314,2284,2274
08,117,29333,30064,30573,30848,30771,30851
08,119,23458,23421,24098,24713,25158,25408
08,121,4720,4775,4824,4909,4861,4869
08,123,277480,286493,296330,306571,315360,324703
08,125,10191,10044,10057,9976,9964,10020
09,000,3595697,3588561,3579830,3575324,3574561,3566022
09,001,944524,945323,945096,944107,945511,944388
09,003,897618,896563,894282,893141,892767,891349
09,005,185380,184171,182837,181719,181151,180396
09,007,164857,163809,163403,163058,163053,162538
09,009,863149,860506,858159,857845,856895,853818
09,011,271593,269818,268639,267829,267089,265784
09,013,151766,151815,151223,151136,150913,150865
09,015,116810,116556,116191,116489,117182,116884
10,000,933131,942065,949989,957942,966985,976668
10,001,171600,173308,174776,176754,178954,181492
10,003,551124,553929,555582,556491,557983,559941
10,005,210407,214828,219631,224697,230048,235235
11,000,663603,677014,687576,697079,704147,708253
11,001,663603,677014,687576,697079,704147,708253
12,000,19853880,20219111,20627237,20977089,21254926,21492056
12,001,255606,259215,264127,266501,269190,269489
12,003,27123,27357,27903,28255,28381,29288
12,005,178435,181678,183765,184841,186555,173895
12,007,26562,26759,26756,27158,27759,28348
12,009,555838,566133,577380,588165,594978,601024
12,011,1861259,1885435,1913780,1935945,1948058,1955475
12,013,14456,14412,14346,14463,14593,14140
12,015,168208,172607,178046,181998,185204,189669
12,017,138907,140397,142988,145619,147920,150153
12,019,198687,202552,207401,212381,215902,219014
12,021,347401,356288,365894,373286,378657,385917
12,023,67821,68277,69300,70051,70719,71766
12,027,35333,35644,36228,37159,37128,37821
12,029,16041,16352,16455,16609,16692,16887
12,031,897094,911106,927038,939167,950469,959853
